ISSN|Área|Titulo|Estrato|Ano Base
1085-3375|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Abstract and Applied Analysis|B5|2008
1525-9293|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|ACIS International Journal of Computer and Information Science|B5|2008
0360-0300|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|ACM Computing Surveys|A2|2008
1084-4309|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|ACM Transactions on Design Automation of Electronic Systems|B1|2008
0730-0301|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|ACM Transactions on Graphics|A1|2008
0098-3500|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|ACM Transactions on Mathematical Software|A1|2008
0167-8019|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Acta Applicandae Mathematicae|B2|2008
0065-1036|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Acta Arithmetica|A2|2008
0102-8650|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Acta Cirúrgica Brasileira (Impresso)|B3|2008
0001-5962|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Acta Mathematica|A1|2008
0236-5294|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Acta Mathematica Hungarica (Print)|B1|2008
1439-8516|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Acta Mathematica Sinica. English Series (Print)|B3|2008
0168-9673|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Acta Mathematicae Applicatae Sinica|B4|2008
0303-464X|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Acta Reumatológica Portuguesa|B3|2008
1536-1365|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Advanced Nonlinear Studies|B3|2008
0920-1971|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Advanced Studies in Pure Mathematics (Amsterdam)|B4|2008
0973-4686|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Advances and Applications in Fluid Mechanics|B5|2008
0972-3617|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Advances and Applications in Statistics|B3|2008
0188-7009|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Advances in Applied Clifford Algebras|B4|2008
0196-8858|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Advances in Applied Mathematics (Print)|B1|2008
0001-8678|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Advances in Applied Probability|B1|2008
0219-5259|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Advances in Complex Systems|B3|2008
1019-7168|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Advances in Computational Mathematics|B1|2008
1687-1839|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Advances in Difference Equations|B1|2008
1079-9389|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Advances in Differential Equations|B2|2008
0974-3243|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Advances in Differential Equations and Control Processes|B4|2008
0731-9053|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Advances in Econometrics|B3|2008
1615-715X|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Advances in Geometry (Print)|B3|2008
1680-7340|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Advances in Geosciences (Print)|B1|2008
1343-4373|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Advances in Mathematical Sciences and Applications|B4|2008
0001-8708|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Advances in Mathematics (New York. 1965)|A1|2008
1930-5346|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Advances in Mathematics of Communications|B5|2008
1930-5338|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Advances in Mathematics of Communications (Online)|B5|2008
0001-9054|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Aequationes Mathematicae (Print)|B3|2008
0094-243X|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|AIP Conference Proceedings|B2|2008
1980-0436|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Alea (2006. Online)|B2|2008
1807-0299|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Alea : Estudos Neolatinos (Online)|B2|2008
1726-3255|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Algebra and Discrete Mathematics|B3|2008
0002-5232|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Algebra and Logic|B2|2008
1005-3867|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Algebra Colloquium|B4|2008
1472-2739|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Algebraic and Geometric Topology (Online)|B2|2008
1472-2747|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Algebraic and Geometric Topology (Print)|B2|2008
1386-923X|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Algebras and Representation Theory|B4|2008
0741-9937|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Algebras, Groups and Geometries|B4|2008
0271-3586|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|American Journal of Industrial Medicine (Print)|B1|2008
0002-9327|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|American Journal of Mathematics (Print)|A1|2008
0002-9505|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|American Journal of Physics|B3|2008
0001-3765|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Anais da Academia Brasileira de Ciências (Impresso)|B2|2008
0174-4747|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Analysis (Wiesbaden)|B4|2008
0219-5305|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Analysis and Applications|B4|2008
0133-3852|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Analysis Mathematica (Print)|B4|2008
1239-629X|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Annales Academiae Scientiarum Fennicae. Mathematica (Painettu)|B3|2008
0294-1449|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Annales de l Institut Henri Poincaré. Analyse non Linéaire|A1|2008
1370-4788|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Annales de l'Économie Publique, Sociale et Coopérative (Ed. Multilingue)|B4|2008
0246-0203|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Annales de l'I.H.P. Probabilités et Statistiques|A2|2008
