ISSN|area|titulo|estrato|anoBase
1076-6332|Ciência da Computação|Academic Radiology|B2|2008
1519-7859|Ciência da Computação|Ação Ergonômica|C|2008
0360-0300|Ciência da Computação|ACM Computing Surveys|A1|2008
1084-6654|Ciência da Computação|ACM Journal of Experimental Algorithmics|B2|2008
1549-6325|Ciência da Computação|ACM Transactions on Algorithms|B2|2008
1544-3558|Ciência da Computação|ACM Transactions on Applied Perception (Print)|B2|2008
0734-2071|Ciência da Computação|ACM Transactions on Computer Systems|A1|2008
0362-5915|Ciência da Computação|ACM Transactions on Database Systems|A1|2008
1084-4309|Ciência da Computação|ACM Transactions on Design Automation of Electronic Systems|B1|2008
1539-9087|Ciência da Computação|ACM Transactions on Embedded Computing Systems|B1|2008
0730-0301|Ciência da Computação|ACM Transactions on Graphics|A1|2008
1046-8188|Ciência da Computação|ACM Transactions on Information Systems|A1|2008
0098-3500|Ciência da Computação|ACM Transactions on Mathematical Software|A2|2008
1551-6857|Ciência da Computação|ACM Transactions on Multimedia Computing Communications and Applications|A1|2008
0164-0925|Ciência da Computação|ACM Transactions on Programming Languages and Systems|A2|2008
1049-331X|Ciência da Computação|ACM Transactions on Software Engineering and Methodology|A1|2008
0094-5765|Ciência da Computação|Acta Astronautica|B4|2008
1432-0525|Ciência da Computação|Acta Informatica (Internet)|B1|2008
1807-8664|Ciência da Computação|Acta Scientiarum. Technology (Online)|C|2008
0325-7533|Ciência da Computação|Actas de la Academia Nacional de Ciencias de la República Argentina|C|2008
1570-8705|Ciência da Computação|Ad Hoc Networks|B2|2008
1059-7123|Ciência da Computação|Adaptive Behavior|B2|2008
1474-0346|Ciência da Computação|Advanced Engineering Informatics|B1|2008
0065-2458|Ciência da Computação|Advances in Computers|B2|2008
0965-9978|Ciência da Computação|Advances in Engineering Software (1992)|B2|2008
0104-7507|Ciência da Computação|Agora (UNC)|C|2008
0921-7126|Ciência da Computação|AI Communications|B1|2008
0001-1452|Ciência da Computação|AIAA Journal (Print)|B2|2008
0178-4617|Ciência da Computação|Algorithmica|A2|2008
1432-0541|Ciência da Computação|Algorithmica (New York. Internet)|A2|2008
1518-0360|Ciência da Computação|Âmbito Jurídico|C|2008
0002-9483|Ciência da Computação|American Journal of Physical Anthropology|B2|2008
0925-1030|Ciência da Computação|Analog Integrated Circuits and Signal Processing|B3|2008
1573-1979|Ciência da Computação|Analog Integrated Circuits and Signal Processing (Dordrecht. Online)|B3|2008
0884-6812|Ciência da Computação|Analytical and Quantitative Cytology and Histology|B2|2008
0003-4347|Ciência da Computação|Annales des Télécommunications|B4|2008
0218-0006|Ciência da Computação|Annals of Combinatorics|B2|2008
1012-2443|Ciência da Computação|Annals of Mathematics and Artificial Intelligence|B1|2008
1573-7470|Ciência da Computação|Annals of Mathematics and Artificial Intelligence (Dordrecht. Online)|B1|2008
0254-5330|Ciência da Computação|Annals of Operation Research|A2|2008
1572-9338|Ciência da Computação|Annals of Operations Research (Dordrecht. Online)|A2|2008
0168-0072|Ciência da Computação|Annals of Pure and Applied Logic|B1|2008
1022-7091|Ciência da Computação|Annals of Software Engineering|B2|2008
1573-7489|Ciência da Computação|Annals of Software Engineering (Dordrecht. Online)|B2|2008
0090-5364|Ciência da Computação|Annals of Statistics|B2|2008
1550-8382|Ciência da Computação|Annual Review of Information Science and Technology (Online)|B1|2008
0066-4286|Ciência da Computação|Annual Review of Phytopathology (Print)|B2|2008
1367-5788|Ciência da Computação|Annual Reviews in Control|B3|2008
0918-7960|Ciência da Computação|Anthropological Science|B4|2008
0195-6663|Ciência da Computação|Appetite (London. Print)|B2|2008
1432-0622|Ciência da Computação|Applicable algebra in engineering, communication and computing (Internet)|B1|2008
1452-8630|Ciência da Computação|Applicable Analysis and Discrete Mathematics|C|2008
0883-9514|Ciência da Computação|Applied Artificial Intelligence|B1|2008
0924-669X|Ciência da Computação|Applied Intelligence (Boston)|B1|2008
1573-7497|Ciência da Computação|Applied Intelligence (Dordrecht. Online)|B1|2008
0307-904X|Ciência da Computação|Applied Mathematical Modelling|B1|2008
0095-4616|Ciência da Computação|Applied Mathematics & Optimization|B1|2008
0096-3003|Ciência da Computação|Applied Mathematics and Computation|A2|2008
0168-9274|Ciência da Computação|Applied Numerical Mathematics|B1|2008
1570-5838|Ciência da Computação|Applied Ontology|B2|2008

0003-6935|Ciência da Computação|Applied Optics|B2|2008
1540-8973||Applied Optics. Information Processing|B2|2008
1070-9762||Applied Optics. Optical Technology|B2|2008
1943-8206||Applied Optics. Lasers and Photonics|B2|2008

0003-6951|Ciência da Computação|Applied Physics Letters|B2|2008
1568-4946|Ciência da Computação|Applied Soft Computing (Print)|A2|2008
1359-4311|Ciência da Computação|Applied Thermal Engineering|B3|2008
1420-8938|Ciência da Computação|Archiv der Mathematik (Electronic ed.)|B2|2008
0003-889X|Ciência da Computação|Archiv der Mathematik (Printed ed.)|B2|2008
0003-9519|Ciência da Computação|Archive for History of Exact Sciences (Print)|B4|2008
0003-9861|Ciência da Computação|Archives of Biochemistry and Biophysics (Print)|B2|2008
1134-3060|Ciência da Computação|Archives of Computational Methods in Engineering|A2|2008
0253-6269|Ciência da Computação|Archives of Pharmacal Research (Seoul. Print)|B3|2008
