ISSN|area|titulo|estrato|ano
1981-030X|HISTÓRIA|19&20 (Rio de Janeiro)|B5|2008
1548-7083|HISTÓRIA|A Contracorriente (Raleigh, N.C.)|B2|2008
1415-8973|HISTÓRIA|A Cor das Letras (UEFS)|B5|2008
0011-7641|HISTÓRIA|A Defesa Nacional|B5|2008
0044-5592|HISTÓRIA|A. Rivista Anarchica|B4|2008
0213-6252|HISTÓRIA|Abaco (Gijón)|B5|2008
1676-3769|HISTÓRIA|Academia (Academia de Ciências Sociais do Ceará)|B5|2008
0102-700X|HISTÓRIA|Acervo (Rio de Janeiro)|B2|2008
1677-8855|HISTÓRIA|Achegas.net|B3|2008
1980-5772|HISTÓRIA|Acta Geográfica (UFRR)|B5|2008
0065-1656|HISTÓRIA|Acta Scientiarum Socialium|B5|2008
1679-7361|HISTÓRIA|Acta Scientiarum. Human and Social Sciences (Impresso)|B3|2008
1850-2032|HISTÓRIA|Actas de Diseño|B5|2008
1808-883X|HISTÓRIA|Advérbio (FAG)|B5|2008
1518-3769|HISTÓRIA|Advir (ASDUERJ)|C|2008
0263-0338|HISTÓRIA|African Archaeological Review|B1|2008
0002-0206|HISTÓRIA|African Studies Review|B1|2008
1276-2458|HISTÓRIA|Africultures: la revue de reference des cultures africaines|A2|2008
0002-0591|HISTÓRIA|Afro-Ásia (UFBA. Impresso)|A2|2008
1130-3557|HISTÓRIA|Agalia (A Corunha)|B5|2008
0104-7507|HISTÓRIA|Agora (UNC)|B5|2008
1414-0454|HISTÓRIA|Ágora (UNISC)|B4|2008
1982-6737|HISTÓRIA|Ágora (UNISC. Online)|B4|2008
1517-5367|HISTÓRIA|Akrópolis (UNIPAR)|B5|2008
1518-8728|HISTÓRIA|Alceu (PUCRJ)|B5|2008
1808-5148|HISTÓRIA|Alegrar (Campinas)|C|2008
1983-2087|HISTÓRIA|Alethéia (Goiânia)|B5|2008
1413-0394|HISTÓRIA|Aletheia (ULBRA)|B5|2008
1982-5153|HISTÓRIA|Alexandria (UFSC)|B4|2008
1808-8139|HISTÓRIA|Almanack Braziliense|B2|2008
1955-2556|HISTÓRIA|Alterinfos|B5|2008
