issn|area|titulo|estrato|classificacao
1076-6332|CIÊNCIA DA COMPUTAÇÃO|Academic Radiology|B2|Atualizada em 2012
1519-7859|CIÊNCIA DA COMPUTAÇÃO|Ação Ergonômica|C|Atualizada em 2012
0360-0300|CIÊNCIA DA COMPUTAÇÃO|ACM Computing Surveys|A1|Atualizada em 2012
2153-2184|CIÊNCIA DA COMPUTAÇÃO|ACM Inroads|B4|Atualizada em 2012
1084-6654|CIÊNCIA DA COMPUTAÇÃO|ACM Journal of Experimental Algorithmics|B3|Atualizada em 2012
1523-2867|CIÊNCIA DA COMPUTAÇÃO|ACM SIGPLAN Notices|B1|Atualizada em 2012
1549-6325|CIÊNCIA DA COMPUTAÇÃO|ACM Transactions on Algorithms|B1|Atualizada em 2012
1544-3558|CIÊNCIA DA COMPUTAÇÃO|ACM Transactions on Applied Perception (Print)|B2|Atualizada em 2012
1556-4665|CIÊNCIA DA COMPUTAÇÃO|ACM Transactions on Autonomous and Adaptive Systems|B1|Atualizada em 2012
0734-2071|CIÊNCIA DA COMPUTAÇÃO|ACM Transactions on Computer Systems|A2|Atualizada em 2012
0362-5915|CIÊNCIA DA COMPUTAÇÃO|ACM Transactions on Database Systems|A2|Atualizada em 2012
1084-4309|CIÊNCIA DA COMPUTAÇÃO|ACM Transactions on Design Automation of Electronic Systems|B2|Atualizada em 2012
1539-9087|CIÊNCIA DA COMPUTAÇÃO|ACM Transactions on Embedded Computing Systems|B1|Atualizada em 2012
0730-0301|CIÊNCIA DA COMPUTAÇÃO|ACM Transactions on Graphics|A1|Atualizada em 2012
1046-8188|CIÊNCIA DA COMPUTAÇÃO|ACM Transactions on Information Systems|A2|Atualizada em 2012
0098-3500|CIÊNCIA DA COMPUTAÇÃO|ACM Transactions on Mathematical Software|A2|Atualizada em 2012
1551-6857|CIÊNCIA DA COMPUTAÇÃO|ACM Transactions on Multimedia Computing Communications and Applications|A2|Atualizada em 2012
0164-0925|CIÊNCIA DA COMPUTAÇÃO|ACM Transactions on Programming Languages and Systems|A2|Atualizada em 2012
1049-331X|CIÊNCIA DA COMPUTAÇÃO|ACM Transactions on Software Engineering and Methodology|A2|Atualizada em 2012
1550-4883|CIÊNCIA DA COMPUTAÇÃO|ACM Transactions on Speech and Language Processing (Online)|B5|Atualizada em 2012
1559-1131|CIÊNCIA DA COMPUTAÇÃO|ACM Transactions on the Web|A2|Atualizada em 2012
0097-8930|CIÊNCIA DA COMPUTAÇÃO|ACMSIGGRAPH Proceedings|C|Atualizada em 2012
0094-5765|CIÊNCIA DA COMPUTAÇÃO|Acta Astronautica|B2|Atualizada em 2012
1432-0525|CIÊNCIA DA COMPUTAÇÃO|Acta Informatica (Internet)|B1|Atualizada em 2012
0251-4184|CIÊNCIA DA COMPUTAÇÃO|Acta Mathematica Vietnamica|C|Atualizada em 2012
1807-8656|CIÊNCIA DA COMPUTAÇÃO|Acta Scientiarum. Human and Social Sciences|C|Atualizada em 2012
1807-8664|CIÊNCIA DA COMPUTAÇÃO|Acta Scientiarum. Technology (Online)|B5|Atualizada em 2012
0325-7533|CIÊNCIA DA COMPUTAÇÃO|Actas de la Academia Nacional de Ciencias de la República Argentina|C|Atualizada em 2012
1570-8705|CIÊNCIA DA COMPUTAÇÃO|Ad Hoc Networks|B1|Atualizada em 2012
1059-7123|CIÊNCIA DA COMPUTAÇÃO|Adaptive Behavior|B1|Atualizada em 2012
1474-0346|CIÊNCIA DA COMPUTAÇÃO|Advanced Engineering Informatics|B1|Atualizada em 2012
2070-0733|CIÊNCIA DA COMPUTAÇÃO|Advances in Applied Mathematics and Mechanics|B4|Atualizada em 2012
0219-5259|CIÊNCIA DA COMPUTAÇÃO|Advances in Complex Systems|B2|Atualizada em 2012
0065-2458|CIÊNCIA DA COMPUTAÇÃO|Advances in Computers|B3|Atualizada em 2012
0965-9978|CIÊNCIA DA COMPUTAÇÃO|Advances in Engineering Software (1992)|B1|Atualizada em 2012
1930-5346|CIÊNCIA DA COMPUTAÇÃO|Advances in Mathematics of Communications|B4|Atualizada em 2012
1615-3871|CIÊNCIA DA COMPUTAÇÃO|Advances in Soft Computing|B4|Atualizada em 2012
1687-8655|CIÊNCIA DA COMPUTAÇÃO|Advances in Software Engineering (Print)|B4|Atualizada em 2012
1434-8411|CIÊNCIA DA COMPUTAÇÃO|AEU. International Journal of Electronics and Communications (Print)|B3|Atualizada em 2012
0104-7507|CIÊNCIA DA COMPUTAÇÃO|Agora (UNC)|C|Atualizada em 2012
0921-7126|CIÊNCIA DA COMPUTAÇÃO|AI Communications|B2|Atualizada em 2012
0001-1452|CIÊNCIA DA COMPUTAÇÃO|AIAA Journal (Print)|B2|Atualizada em 2012
0094-243X|CIÊNCIA DA COMPUTAÇÃO|AIP Conference Proceedings|C|Atualizada em 2012
0178-4617|CIÊNCIA DA COMPUTAÇÃO|Algorithmica|A2|Atualizada em 2012
1432-0541|CIÊNCIA DA COMPUTAÇÃO|Algorithmica (New York. Internet)|A2|Atualizada em 2012
1748-7188|CIÊNCIA DA COMPUTAÇÃO|Algorithms for Molecular Biology|A1|Atualizada em 2012
1518-0360|CIÊNCIA DA COMPUTAÇÃO|Âmbito Jurídico|C|Atualizada em 2012
0889-5406|CIÊNCIA DA COMPUTAÇÃO|American Journal of Orthodontics and Dentofacial Orthopedics|C|Atualizada em 2012
0002-9483|CIÊNCIA DA COMPUTAÇÃO|American Journal of Physical Anthropology|C|Atualizada em 2012
1088-6826|CIÊNCIA DA COMPUTAÇÃO|American Mathematical Society. Proceedings|B2|Atualizada em 2012
0001-3765|CIÊNCIA DA COMPUTAÇÃO|Anais da Academia Brasileira de Ciências (Impresso)|B2|Atualizada em 2012
1981-8238|CIÊNCIA DA COMPUTAÇÃO|Anais do ... Seminfo|C|Atualizada em 2012
0925-1030|CIÊNCIA DA COMPUTAÇÃO|Analog Integrated Circuits and Signal Processing|B1|Atualizada em 2012
1573-1979|CIÊNCIA DA COMPUTAÇÃO|Analog Integrated Circuits and Signal Processing (Dordrecht. Online)|B1|Atualizada em 2012
0884-6812|CIÊNCIA DA COMPUTAÇÃO|Analytical and Quantitative Cytology and Histology|B2|Atualizada em 2012
0003-2700|CIÊNCIA DA COMPUTAÇÃO|Analytical Chemistry (Washington)|B1|Atualizada em 2012
0003-4347|CIÊNCIA DA COMPUTAÇÃO|Annales des Telecommunications|B3|Atualizada em 2012
0218-0006|CIÊNCIA DA COMPUTAÇÃO|Annals of Combinatorics (Print)|B3|Atualizada em 2012
1012-2443|CIÊNCIA DA COMPUTAÇÃO|Annals of Mathematics and Artificial Intelligence|B1|Atualizada em 2012
1573-7470|CIÊNCIA DA COMPUTAÇÃO|Annals of Mathematics and Artificial Intelligence (Dordrecht. Online)|B1|Atualizada em 2012
0254-5330|CIÊNCIA DA COMPUTAÇÃO|Annals of Operation Research|A2|Atualizada em 2012
1572-9338|CIÊNCIA DA COMPUTAÇÃO|Annals of Operations Research (Dordrecht. Online)|A2|Atualizada em 2012
0168-0072|CIÊNCIA DA COMPUTAÇÃO|Annals of Pure and Applied Logic (Print)|B1|Atualizada em 2012
1022-7091|CIÊNCIA DA COMPUTAÇÃO|Annals of Software Engineering|A2|Atualizada em 2012
1573-7489|CIÊNCIA DA COMPUTAÇÃO|Annals of Software Engineering (Dordrecht. Online)|A2|Atualizada em 2012
0090-5364|CIÊNCIA DA COMPUTAÇÃO|Annals of Statistics|B2|Atualizada em 2012
1550-8382|CIÊNCIA DA COMPUTAÇÃO|Annual Review of Information Science and Technology (Online)|B1|Atualizada em 2012
0066-4286|CIÊNCIA DA COMPUTAÇÃO|Annual Review of Phytopathology (Print)|B1|Atualizada em 2012
1367-5788|CIÊNCIA DA COMPUTAÇÃO|Annual Reviews in Control|B2|Atualizada em 2012
0918-7960|CIÊNCIA DA COMPUTAÇÃO|Anthropological Science|B3|Atualizada em 2012
0195-6663|CIÊNCIA DA COMPUTAÇÃO|Appetite (London. Print)|B2|Atualizada em 2012
1432-0622|CIÊNCIA DA COMPUTAÇÃO|Applicable algebra in engineering, communication and computing (Internet)|B2|Atualizada em 2012
1452-8630|CIÊNCIA DA COMPUTAÇÃO|Applicable Analysis and Discrete Mathematics|B2|Atualizada em 2012
0883-9514|CIÊNCIA DA COMPUTAÇÃO|Applied Artificial Intelligence|B1|Atualizada em 2012
0003-6870|CIÊNCIA DA COMPUTAÇÃO|Applied Ergonomics|B2|Atualizada em 2012
0924-669X|CIÊNCIA DA COMPUTAÇÃO|Applied Intelligence (Boston)|B1|Atualizada em 2012
1573-7497|CIÊNCIA DA COMPUTAÇÃO|Applied Intelligence (Dordrecht. Online)|B1|Atualizada em 2012
0307-904X|CIÊNCIA DA COMPUTAÇÃO|Applied Mathematical Modelling|A2|Atualizada em 2012
0095-4616|CIÊNCIA DA COMPUTAÇÃO|Applied Mathematics & Optimization|B1|Atualizada em 2012
0096-3003|CIÊNCIA DA COMPUTAÇÃO|Applied Mathematics and Computation|A2|Atualizada em 2012
0168-9274|CIÊNCIA DA COMPUTAÇÃO|Applied Numerical Mathematics|A2|Atualizada em 2012
1570-5838|CIÊNCIA DA COMPUTAÇÃO|Applied Ontology|B2|Atualizada em 2012
1559-128X|CIÊNCIA DA COMPUTAÇÃO|Applied Optics|B3|Atualizada em 2012
