issn|area|titulo|estrato|classificacao
1981-0385|INTERDISCIPLINAR|+ Geografias (Feira de Santana)|B5|Atualizada em 2012
1516-1528|INTERDISCIPLINAR|@rquivos da Fundação Otorrinolaringologia|B4|Atualizada em 2012
1981-030X|INTERDISCIPLINAR|19&20 (Rio de Janeiro)|B2|Atualizada em 2012
1668-2939|INTERDISCIPLINAR|30-60 Cuaderno latinoamericano de arquitectura|C|Atualizada em 2012
0104-7922|INTERDISCIPLINAR|A Agua em Revista|B5|Atualizada em 2012
2145-1958|INTERDISCIPLINAR|A Contratiempo: Revista de Música en la Cultura|B5|Atualizada em 2012
1415-8973|INTERDISCIPLINAR|A Cor das Letras (UEFS)|B1|Atualizada em 2012
0011-7641|INTERDISCIPLINAR|A Defesa Nacional|B5|Atualizada em 2012
1983-6430|INTERDISCIPLINAR|A Física na Escola|B4|Atualizada em 2012
0101-9163|INTERDISCIPLINAR|A Hora Veterinária|B4|Atualizada em 2012
0023-9135|INTERDISCIPLINAR|A Lavoura (Rio de Janeiro)|B5|Atualizada em 2012
1676-0336|INTERDISCIPLINAR|A Terceira Idade|B3|Atualizada em 2012
0149-1423|INTERDISCIPLINAR|AAPG Bulletin|A2|Atualizada em 2012
1807-9202|INTERDISCIPLINAR|Abc Educatio (São Paulo)|B5|Atualizada em 2012
0102-6720|INTERDISCIPLINAR|ABCD. Arquivos Brasileiros de Cirurgia Digestiva|B2|Atualizada em 2012
1676-5656|INTERDISCIPLINAR|ABCDesing|B3|Atualizada em 2012
1980-4814|INTERDISCIPLINAR|ABCustos (São Leopoldo, RS)|B4|Atualizada em 2012
1516-618X|INTERDISCIPLINAR|ABMES Cadernos|C|Atualizada em 2012
0874-2731|INTERDISCIPLINAR|ABO. Revista de Medicina Transfusional|B5|Atualizada em 2012
2175-3148|INTERDISCIPLINAR|ABPI em Revista|B5|Atualizada em 2012
1807-9792|INTERDISCIPLINAR|Abstracta : linguagem, mente e ação (Niterói)|B3|Atualizada em 2012
1012-8255|INTERDISCIPLINAR|Academia (Caracas)|B1|Atualizada em 2012
2079-3456|INTERDISCIPLINAR|Academic Journal of Suriname|B5|Atualizada em 2012
1876-2859|INTERDISCIPLINAR|Academic Pediatrics|B1|Atualizada em 2012
1809-3604|INTERDISCIPLINAR|Academos (São Bernardo do Campo)|B5|Atualizada em 2012
1806-9436|INTERDISCIPLINAR|Ação & Movimento (Rio de Janeiro)|B4|Atualizada em 2012
1519-0552|INTERDISCIPLINAR|Ação Ambiental (UFV)|B3|Atualizada em 2012
1519-7859|INTERDISCIPLINAR|Ação Ergonômica|B3|Atualizada em 2012
0258-2678|INTERDISCIPLINAR|Acción Crítica|B3|Atualizada em 2012
0949-1775|INTERDISCIPLINAR|Accreditation and Quality Assurance|B1|Atualizada em 2012
0102-700X|INTERDISCIPLINAR|Acervo (Rio de Janeiro)|B2|Atualizada em 2012
1981-867X|INTERDISCIPLINAR|Acervo On-line de Mídia Regional (UNITAU)|B4|Atualizada em 2012
1677-8855|INTERDISCIPLINAR|Achegas.net|B3|Atualizada em 2012
0889-3241|INTERDISCIPLINAR|ACI Structural Journal|A2|Atualizada em 2012
1525-9293|INTERDISCIPLINAR|ACIS International Journal of Computer and Information Science|B5|Atualizada em 2012
0360-0300|INTERDISCIPLINAR|ACM Computing Surveys|A1|Atualizada em 2012
1084-6654|INTERDISCIPLINAR|ACM Journal of Experimental Algorithmics|B1|Atualizada em 2012
0098-3500|INTERDISCIPLINAR|ACM Transactions on Mathematical Software|A1|Atualizada em 2012
1980-7686|INTERDISCIPLINAR|Acolhendo a Alfabetização nos Países de Língua Portuguesa (USP)|B2|Atualizada em 2012
1944-8244|INTERDISCIPLINAR|ACS Applied Materials & Interfaces|A2|Atualizada em 2012
1936-0851|INTERDISCIPLINAR|ACS Nano|A1|Atualizada em 2012
0044-5967|INTERDISCIPLINAR|Acta Amazonica|B1|Atualizada em 2012
1677-7298|INTERDISCIPLINAR|Acta Ambiental Catarinense|B3|Atualizada em 2012
0167-8019|INTERDISCIPLINAR|Acta Applicandae Mathematicae|B1|Atualizada em 2012
0094-5765|INTERDISCIPLINAR|Acta Astronautica|A2|Atualizada em 2012
0717-5906|INTERDISCIPLINAR|Acta Bioethica (Impresa)|B1|Atualizada em 2012
0120-548X|INTERDISCIPLINAR|Acta Biologica Colombiana|B2|Atualizada em 2012
0101-5354|INTERDISCIPLINAR|Acta Biologica Leopoldensia|B3|Atualizada em 2012
0102-3306|INTERDISCIPLINAR|Acta Botanica Brasílica|B1|Atualizada em 2012
0210-9506|INTERDISCIPLINAR|Acta Botánica Malacitana|B5|Atualizada em 2012
0253-7338|INTERDISCIPLINAR|Acta Ciencia Indica. Chemistry|C|Atualizada em 2012
1519-9800|INTERDISCIPLINAR|Acta Científica. Ciências Humanas|B4|Atualizada em 2012
0102-8650|INTERDISCIPLINAR|Acta Cirúrgica Brasileira|A2|Atualizada em 2012
1600-5368|INTERDISCIPLINAR|Acta Crystallographica. Section E|B2|Atualizada em 2012
1744-3091|INTERDISCIPLINAR|Acta Crystallographica. Section F|B2|Atualizada em 2012
0001-5547|INTERDISCIPLINAR|Acta Cytologica|B2|Atualizada em 2012
1437-9546|INTERDISCIPLINAR|Acta Ethologica (Internet)|B2|Atualizada em 2012
0326-2383|INTERDISCIPLINAR|Acta Farmacéutica Bonaerense|B1|Atualizada em 2012
0104-7795|INTERDISCIPLINAR|Acta Fisiatrica (USP)|B2|Atualizada em 2012
0300-9033|INTERDISCIPLINAR|Acta Gastroenterológica Latinoamericana|B3|Atualizada em 2012
1980-5772|INTERDISCIPLINAR|Acta Geográfica (UFRR)|B4|Atualizada em 2012
1861-1125|INTERDISCIPLINAR|Acta Geotechnica (Berlin. Print)|B4|Atualizada em 2012
0065-1281|INTERDISCIPLINAR|Acta Histochemica|B1|Atualizada em 2012
0567-7572|INTERDISCIPLINAR|Acta Horticulturae|B2|Atualizada em 2012
0102-6712|INTERDISCIPLINAR|Acta Limnológica Brasiliensia|B1|Atualizada em 2012
1359-6454|INTERDISCIPLINAR|Acta Materialia (Oxford)|A1|Atualizada em 2012
0103-5037|INTERDISCIPLINAR|Acta Médica (Porto Alegre)|B4|Atualizada em 2012
0870-399X|INTERDISCIPLINAR|Acta Médica Portuguesa|B2|Atualizada em 2012
0001-6268|INTERDISCIPLINAR|Acta Neurochirurgica|B2|Atualizada em 2012
0001-6314|INTERDISCIPLINAR|Acta Neurologica Scandinavica|B1|Atualizada em 2012
0924-2708|INTERDISCIPLINAR|Acta Neuropsychiatrica|B1|Atualizada em 2012
0326-4815|INTERDISCIPLINAR|Acta Odontológica Latinoamericana|B3|Atualizada em 2012
0001-6365|INTERDISCIPLINAR|Acta Odontológica Venezolana|B2|Atualizada em 2012
1146-609X|INTERDISCIPLINAR|Acta Oecologica (Montrouge)|B1|Atualizada em 2012
